Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667464bde50603022a5dd74a,59c7d5a159b379000115106e,APPROVED,Not Applicable,2024-06-20T17:20:03.079000Z,2024-06-20T18:21:12.859000Z,2024-06-24T11:28:55.602000Z,2024-06-20T18:23:06.151895Z,3670.0,CD9A7ZYU,303,English,"No, I have no issues seeing colours",26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
667464beb2334c87f962234a,5eecd2e3a38fd009dd9d1f3d,APPROVED,Not Applicable,2024-06-20T17:27:21.096000Z,2024-06-20T18:18:36.372000Z,2024-06-24T11:28:56.043000Z,2024-06-20T18:21:00.244156Z,3076.0,CD9A7ZYU,598,English,"No, I have no issues seeing colours",34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667464df14d47ca71265fec6,63e52a987451db9972a9e26e,APPROVED,Not Applicable,2024-06-20T17:20:36.759000Z,2024-06-20T18:10:05.154000Z,2024-06-24T11:28:56.327000Z,2024-06-20T18:11:14.817937Z,2969.0,CD9A7ZYU,294,English,"No, I have no issues seeing colours",22,Male,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667464f2c1540ee5cbe1f25b,601a3b26e9531b22dc95dd8c,APPROVED,Not Applicable,2024-06-20T17:21:09.450000Z,2024-06-20T18:10:15.468000Z,2024-06-24T11:28:56.622000Z,2024-06-20T18:11:14.674083Z,2947.0,CD9A7ZYU,235,English,"No, I have no issues seeing colours",30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
66746507b851ebef682c9ce8,60fde71d08e32b4b5bbdfc38,APPROVED,Not Applicable,2024-06-20T17:21:17.072000Z,2024-06-20T18:02:34.378000Z,2024-06-24T11:28:56.907000Z,2024-06-20T18:04:06.151527Z,2478.0,CD9A7ZYU,359,English,"No, I have no issues seeing colours",27,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
66746567b126bd8af3ee72d6,5f196e2fab8a9003090bd474,APPROVED,Not Applicable,2024-06-20T17:23:13.693000Z,2024-06-20T18:13:48.280000Z,2024-06-24T11:28:57.186000Z,2024-06-20T18:13:49.121525Z,3035.0,CD9A7ZYU,405,"English, French","No, I have no issues seeing colours",23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
667465fdd5d7d3b3dc6bc2fb,63672693c8f402f62b4c54f9,RETURNED,Not Applicable,2024-06-20T17:25:32.937000Z,,,2024-07-08T15:41:45.293629Z,,,405,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667467d6f12731dbca4c90fc,5e2c8f69cad44b2bc5ce9a34,APPROVED,Not Applicable,2024-06-20T17:33:16.900000Z,2024-06-20T18:17:16.726000Z,2024-06-24T11:28:57.438000Z,2024-06-20T18:17:17.383883Z,2640.0,CD9A7ZYU,1097,English,"No, I have no issues seeing colours",49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667468018631642fef2d6b1d,5ec1832e24b73c069f33baf9,RETURNED,Not Applicable,2024-06-20T17:33:58.311000Z,,,2024-07-08T16:03:54.660905Z,,,1894,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746909c7b820f0576d245e,5ee693b0822bd24173d86324,APPROVED,Not Applicable,2024-06-20T17:41:02.261000Z,2024-06-20T18:33:27.044000Z,2024-06-24T11:28:57.678000Z,2024-06-20T18:33:28.086190Z,3145.0,CD9A7ZYU,3,English,"No, I have no issues seeing colours",22,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
667469824244b8a552af7042,6659fdebb655a078b9cfce41,APPROVED,Not Applicable,2024-06-20T17:40:25.351000Z,2024-06-20T18:24:37.299000Z,2024-06-24T11:28:57.901000Z,2024-06-20T18:24:37.746744Z,2652.0,CD9A7ZYU,28,English,"No, I have no issues seeing colours",30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746987b9f5b8c26d25f760,62ea86460ac7b94e757b7cbd,APPROVED,Not Applicable,2024-06-20T17:42:12.364000Z,2024-06-20T18:35:25.571000Z,2024-06-24T11:28:58.127000Z,2024-06-23T15:03:09.552102Z,3194.0,CD9A7ZYU,144,English,"No, I have no issues seeing colours",20,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
667469e5982ca8f896fbff16,63d416bc58ca5094af85cf8a,RETURNED,Not Applicable,2024-06-20T17:42:20.498000Z,,,2024-07-08T15:41:45.295097Z,,,1044,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746a043f9dfa929cd0c97e,5c636bc3302b1e0001e69dce,APPROVED,Not Applicable,2024-06-20T17:42:33.974000Z,2024-06-20T18:33:12.406000Z,2024-06-24T11:28:58.350000Z,2024-06-20T18:33:12.909773Z,3039.0,CD9A7ZYU,711,English,"No, I have no issues seeing colours",36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66746a06bbd8c03039123b9c,62e18da43c8a429a0bae6251,APPROVED,Not Applicable,2024-06-20T17:44:23.906000Z,2024-06-20T18:53:21.937000Z,2024-06-24T11:28:58.599000Z,2024-06-20T18:55:08.926791Z,4139.0,CD9A7ZYU,1091,English,"No, I have no issues seeing colours",43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746acd583c9b9febf4fc46,653d1a347da5636bc74b4d9c,APPROVED,Not Applicable,2024-06-20T17:45:55.637000Z,2024-06-20T18:56:06.521000Z,2024-06-24T11:28:58.886000Z,2024-06-20T18:56:06.986010Z,4211.0,CD9A7ZYU,350,English,"No, I have no issues seeing colours",29,Female,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
66746aeb518f556e28f4fd32,6165e6f471254e3af05c5057,APPROVED,Not Applicable,2024-06-20T17:46:28.225000Z,2024-06-20T18:47:26.921000Z,2024-06-24T11:28:59.125000Z,2024-06-20T18:47:27.492021Z,3659.0,CD9A7ZYU,549,English,"No, I have no issues seeing colours",37,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66746af1581904f59ae7d199,5dbf704fa3f5cb40876271fc,APPROVED,Not Applicable,2024-06-20T17:46:31.228000Z,2024-06-20T18:29:46.063000Z,2024-06-24T11:28:59.386000Z,2024-06-20T18:31:05.692936Z,2595.0,CD9A7ZYU,958,English,"No, I have no issues seeing colours",33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66746b2cedb7b71dde1bf4c4,665e427030846b15f1167db8,RETURNED,Not Applicable,2024-06-20T17:47:51.821000Z,,,2024-07-08T15:41:45.301436Z,,,12,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746b45e78aefd4cb6a2ee5,65ddeda24a8ad72cc5a879b3,RETURNED,Not Applicable,2024-06-20T17:47:54.048000Z,,,2024-07-08T15:41:45.308125Z,,,196,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746b4ad1226e915b451e39,5dd742a140460e6e2b707d58,APPROVED,Not Applicable,2024-06-20T17:48:00.971000Z,2024-06-20T18:39:01.174000Z,2024-06-24T11:28:59.643000Z,2024-06-20T18:41:58.850418Z,3061.0,CD9A7ZYU,1180,English,"No, I have no issues seeing colours",27,Male,White,United States,United States,United States,English,No,Part-Time
66746b4c87af5db3f6663143,5ba123b5a9e7be000135e989,APPROVED,Not Applicable,2024-06-20T17:48:02.525000Z,2024-06-20T17:56:56.808000Z,2024-06-24T11:28:59.878000Z,2024-06-20T17:58:16.778503Z,535.0,NOCODE,213,English,"No, I have no issues seeing colours",34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
66746b80b663b2aff016c0ba,62e5284ab84a0999a4fbc14f,APPROVED,Not Applicable,2024-06-20T17:48:57.465000Z,2024-06-20T18:32:13.930000Z,2024-06-24T11:29:00.150000Z,2024-06-20T18:32:14.650714Z,2597.0,CD9A7ZYU,41,English,"No, I have no issues seeing colours",32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746b8a8beb3a16731a0617,612266e2ea3c172619abba50,APPROVED,Not Applicable,2024-06-20T17:50:32.535000Z,2024-06-20T18:41:35.535000Z,2024-06-24T11:29:00.451000Z,2024-06-20T18:44:28.244165Z,3063.0,CD9A7ZYU,1777,English,"No, I have no issues seeing colours",47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66746b9086e98ccea8933363,6604686e0b7113cd625722e3,APPROVED,Not Applicable,2024-06-20T17:49:20.519000Z,2024-06-20T18:38:11.780000Z,2024-06-24T11:29:00.697000Z,2024-06-20T18:38:23.257864Z,2932.0,CD9A7ZYU,220,English,"No, I have no issues seeing colours",48,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746bb212318485e715d40e,5c5f525806006e0001db95d2,TIMED-OUT,Not Applicable,2024-06-20T17:49:42.376000Z,,,2024-07-08T16:03:54.663737Z,1548853.0,,1243,"English, Spanish","No, I have no issues seeing colours",30,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66746bbe76c701df4e5959ee,5c93d85d64d5c100171eb824,TIMED-OUT,Not Applicable,2024-06-20T17:50:25.520000Z,,,2024-07-08T15:41:45.309379Z,1547480.0,,96,English,"No, I have no issues seeing colours",30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746bd6f7481b422a05c1c2,6672d85a7478638a8fc6feb2,APPROVED,Not Applicable,2024-06-20T17:51:19.152000Z,2024-06-20T18:37:12.391000Z,2024-06-24T11:29:00.937000Z,2024-06-20T18:37:15.661143Z,2754.0,CD9A7ZYU,2,English,"No, I have no issues seeing colours",33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66746be28c30687e42d6d60c,65dc39c407a42529d7d7199f,APPROVED,Not Applicable,2024-06-20T17:50:34.096000Z,2024-06-20T18:57:17.303000Z,2024-06-24T11:29:01.173000Z,2024-06-21T01:15:55.117705Z,4004.0,CD9A7ZYU,249,English,"No, I have no issues seeing colours",35,Male,Black,United States,United States,United States,English,No,Full-Time
66746c3210995d8f96610ae0,5aea25acd9f2be0001933493,RETURNED,Not Applicable,2024-06-20T17:52:35.393000Z,,,2024-07-08T15:41:45.316022Z,,,874,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746c8cdb6ac812a4024ea5,5749a01b5e5491000e3c4cc1,RETURNED,Not Applicable,2024-06-20T17:53:25.117000Z,,,2024-07-08T16:03:54.668020Z,,,1467,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746ca4afedc96a87772374,666460194453306b040654ff,RETURNED,Not Applicable,2024-06-20T17:53:56.465000Z,,,2024-07-08T15:41:45.320482Z,,,60,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746cc7d0ad3ea1596dab74,605e7fad494f5b1efc65db99,APPROVED,Not Applicable,2024-06-20T17:54:20.037000Z,2024-06-20T18:41:03.636000Z,2024-06-24T11:29:01.980000Z,2024-06-20T18:44:26.256640Z,2804.0,CD9A7ZYU,1000,English,"No, I have no issues seeing colours",35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746ccb56aae0985600c2bb,5ec967ac9020ae477aee23af,APPROVED,Not Applicable,2024-06-20T17:54:38.860000Z,2024-06-20T18:54:41.329000Z,2024-06-24T11:29:02.206000Z,2024-06-20T18:55:22.354440Z,3603.0,CD9A7ZYU,405,English,"No, I have no issues seeing colours",22,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
66746cef50dde06fd0fbfcd0,5f3483c9be9b7c3a6d9c2d79,APPROVED,Not Applicable,2024-06-20T17:55:39.704000Z,2024-06-20T18:45:05.653000Z,2024-06-24T11:29:02.452000Z,2024-06-20T18:45:14.671157Z,2966.0,CD9A7ZYU,1007,English,"No, I have no issues seeing colours",40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
66746d2ac8e35deb581a234b,6658b417198f87b4009b0332,APPROVED,Not Applicable,2024-06-20T17:56:05.321000Z,2024-06-20T18:50:37.361000Z,2024-06-24T11:29:02.752000Z,2024-06-20T18:51:41.085610Z,3273.0,CD9A7ZYU,11,English,"No, I have no issues seeing colours",28,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
66746d3efbbc55d5b67928cb,65830055257db95983265d5c,APPROVED,Not Applicable,2024-06-20T18:01:01.829000Z,2024-06-20T19:03:32.804000Z,2024-06-24T11:29:03.081000Z,2024-06-20T19:04:49.765842Z,3751.0,CD9A7ZYU,212,English,"No, I have no issues seeing colours",28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746d49e1f7fc765b758627,59917a2b0675b100014dadb8,APPROVED,Not Applicable,2024-06-20T17:56:30.131000Z,2024-06-20T18:52:21.526000Z,2024-06-24T11:29:03.449000Z,2024-06-20T18:52:22.014079Z,3352.0,CD9A7ZYU,568,English,"No, I have no issues seeing colours",41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66746d4de1f7fc765b758629,5a91f36235237b00011235d3,RETURNED,Not Applicable,2024-06-20T18:06:29.800000Z,,,2024-07-08T16:03:54.675829Z,,,43,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746d5efe19190590eb5e18,634d7466eeab50ae6cd7258a,APPROVED,Not Applicable,2024-06-20T18:04:16.674000Z,2024-06-20T19:00:14.480000Z,2024-06-24T11:29:03.741000Z,2024-06-20T19:00:41.568924Z,3358.0,CD9A7ZYU,156,English,"No, I have no issues seeing colours",26,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
66746d652389e5be0a071116,5c8acd990e37fb0001006bdf,RETURNED,Not Applicable,2024-06-20T17:56:57.486000Z,,,2024-07-08T15:41:45.321514Z,,,1029,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746d863b443d34673afce3,665999266685a679f8077d9c,RETURNED,Not Applicable,2024-06-20T18:01:49.049000Z,,,2024-07-08T15:41:45.324518Z,,,50,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746d90bbd8c03039123c5d,657bbdb26495af184d3f222b,APPROVED,Not Applicable,2024-06-20T17:59:49.220000Z,2024-06-20T19:02:12.817000Z,2024-06-24T11:29:04.023000Z,2024-06-20T19:03:37.700432Z,3744.0,CD9A7ZYU,119,English,"No, I have no issues seeing colours",23,Male,White,United States,United States,United States,English,No,Part-Time
66746d962579968084e7d2ad,665f043982d26fcb0d1e6e39,APPROVED,Not Applicable,2024-06-20T17:57:46.327000Z,2024-06-20T18:46:58.680000Z,2024-06-24T11:29:04.307000Z,2024-06-20T18:46:59.302445Z,2953.0,CD9A7ZYU,22,English,"No, I have no issues seeing colours",35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746dabd6e10fd056860f0c,65aeab4d8f4b97262317eb2c,APPROVED,Not Applicable,2024-06-20T18:04:59.538000Z,2024-06-20T19:34:23.216000Z,2024-06-24T11:29:04.592000Z,2024-06-20T19:34:23.859217Z,5364.0,CD9A7ZYU,84,English,"No, I have no issues seeing colours",35,Male,Black,Nigeria,United States,Nigeria,English,No,Full-Time
66746dbb6c38e63a9b2d5175,5833b2d8df1e130001e1d805,APPROVED,Not Applicable,2024-06-20T17:58:24.075000Z,2024-06-20T18:36:08.699000Z,2024-06-24T11:29:04.853000Z,2024-06-20T18:36:09.170388Z,2265.0,CD9A7ZYU,458,English,"No, I have no issues seeing colours",31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746dcd20ed6f4c908e7748,55f42b6a32af740005170bd0,APPROVED,Not Applicable,2024-06-20T17:59:33.885000Z,2024-06-20T18:47:21.697000Z,2024-06-24T11:29:05.086000Z,2024-06-20T18:47:22.218357Z,2868.0,CD9A7ZYU,1616,English,"No, I have no issues seeing colours",46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
66746ddc090fa007874a6858,6658e4e34f71ba900a44b907,APPROVED,Not Applicable,2024-06-20T17:59:26.027000Z,2024-06-20T18:50:25.951000Z,2024-06-24T11:29:05.363000Z,2024-06-20T18:51:31.905060Z,3060.0,CD9A7ZYU,25,English,"No, I have no issues seeing colours",27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746deacd4f3064f7aedbc2,5cdc899d48d5f100195fafff,APPROVED,Not Applicable,2024-06-20T17:59:13.547000Z,2024-06-20T19:06:04.394000Z,2024-06-24T11:29:05.595000Z,2024-06-20T19:06:19.909606Z,4011.0,CD9A7ZYU,2064,English,"No, I have no issues seeing colours",37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66746df0aa99b7b85c672c59,666218f380e7717867e40fce,APPROVED,Not Applicable,2024-06-20T17:59:14.319000Z,2024-06-20T18:41:05.629000Z,2024-06-24T11:29:05.872000Z,2024-06-20T18:44:26.173545Z,2512.0,CD9A7ZYU,11,"English, French","No, I have no issues seeing colours",21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746df1a71a49ddb73d429c,63f799d2960e7d0495eb1726,APPROVED,Not Applicable,2024-06-20T17:59:46.205000Z,2024-06-20T18:54:58.641000Z,2024-06-24T11:29:06.111000Z,2024-06-20T18:55:22.965468Z,3313.0,CD9A7ZYU,1397,English,"No, I have no issues seeing colours",36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66746df952aa2115911b63ce,66216a05c5b9ed68b39e394b,RETURNED,Not Applicable,2024-06-20T17:59:40.360000Z,,,2024-07-08T16:03:54.671790Z,,,118,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746e4e7dda33d96f2ef249,6658b94f4552a75abbc1582c,APPROVED,Not Applicable,2024-06-20T18:01:24.406000Z,2024-06-20T18:56:48.810000Z,2024-06-24T11:29:06.361000Z,2024-06-20T18:56:49.361023Z,3325.0,CD9A7ZYU,30,English,"No, I have no issues seeing colours",37,Female,White,United States,United Kingdom,United Kingdom,English,No,Full-Time
66746e74740291114c422d6b,5982eef79dfc3e00011d81e0,APPROVED,Not Applicable,2024-06-20T18:03:43.810000Z,2024-06-20T18:48:10.698000Z,2024-06-24T11:29:06.649000Z,2024-06-20T18:48:11.242850Z,2667.0,CD9A7ZYU,1729,English,"No, I have no issues seeing colours",33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746e85e50603022a5dd90d,664decec249d8d74e41ed0f2,APPROVED,Not Applicable,2024-06-20T18:01:50.316000Z,2024-06-20T18:47:50.055000Z,2024-06-24T11:29:07.071000Z,2024-06-20T18:47:50.677027Z,2760.0,CD9A7ZYU,14,English,"No, I have no issues seeing colours",31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
66746eae97799c45a225f801,6658b241d541a155f7bc16d3,RETURNED,Not Applicable,2024-06-20T18:12:22.368000Z,,,2024-07-08T15:41:45.337168Z,,,73,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746ec6c031311bd2a9cccb,59a734ce0c87a000017481ed,RETURNED,Not Applicable,2024-06-20T18:05:40.364000Z,,,2024-07-08T15:41:45.470196Z,,,1894,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66746ed08631642fef2d6c88,660ea63f6efa52f887394f89,APPROVED,Not Applicable,2024-06-20T18:03:01.460000Z,2024-06-20T18:48:36.504000Z,2024-06-24T11:29:07.314000Z,2024-06-20T18:48:47.616570Z,2736.0,CD9A7ZYU,143,English,"No, I have no issues seeing colours",20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746ee6d64b1dedffdc7bfa,5bae077b542eed0001384369,APPROVED,Not Applicable,2024-06-20T18:03:23.540000Z,2024-06-20T19:02:05.311000Z,2024-06-24T11:29:07.552000Z,2024-06-20T19:03:33.771276Z,3522.0,CD9A7ZYU,3011,English,"No, I have no issues seeing colours",45,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66746ef95dee8d0e374c65d7,60153f6faf1cb75da820c070,APPROVED,Not Applicable,2024-06-20T18:05:24.753000Z,2024-06-20T18:58:46.587000Z,2024-06-24T11:29:07.811000Z,2024-06-20T18:58:47.053733Z,3202.0,CD9A7ZYU,1990,English,"No, I have no issues seeing colours",35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746f0631e815ded8e9eb4c,6651e2f4da645d7478dab0c1,APPROVED,Not Applicable,2024-06-20T18:04:11.269000Z,2024-06-20T18:51:42.177000Z,2024-06-24T11:29:08.057000Z,2024-06-20T18:51:59.837730Z,2851.0,CD9A7ZYU,21,English,"No, I have no issues seeing colours",25,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746f62a8ee70290c72a3c3,6659f7b686070a60418a9b41,APPROVED,Not Applicable,2024-06-20T18:07:35.800000Z,2024-06-20T18:59:28.302000Z,2024-06-24T11:29:08.313000Z,2024-06-20T18:59:28.803861Z,3113.0,CD9A7ZYU,37,English,"No, I have no issues seeing colours",36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746f7b982ca8f896fc0050,65a272ffa02593ebd696590c,APPROVED,Not Applicable,2024-06-20T18:06:18.891000Z,2024-06-20T18:37:03.562000Z,2024-06-24T11:29:08.597000Z,2024-06-20T18:37:06.242919Z,1845.0,NOCODE,103,English,"No, I have no issues seeing colours",37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66746f86e5323b395de1f48c,664f5f31aa35be7505289bc1,APPROVED,Not Applicable,2024-06-20T18:06:18.452000Z,2024-06-20T19:02:56.596000Z,2024-06-24T11:29:08.844000Z,2024-06-20T19:04:19.396243Z,3399.0,CD9A7ZYU,53,English,"No, I have no issues seeing colours",42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66746fb211f310fac79a232d,6658b1c7ab732c38533b23b0,APPROVED,Not Applicable,2024-06-20T18:07:41.101000Z,2024-06-20T19:05:45.053000Z,2024-06-24T11:29:09.118000Z,2024-06-20T19:05:51.673217Z,3484.0,CD9A7ZYU,43,"English, Spanish","No, I have no issues seeing colours",34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66746fceaa9011d2285bc407,6022e90eaccb290e2f1b07a2,APPROVED,Not Applicable,2024-06-20T18:16:51.583000Z,2024-06-20T19:08:53.379000Z,2024-06-24T11:29:09.383000Z,2024-06-20T19:08:53.909646Z,3122.0,CD9A7ZYU,977,English,"No, I have no issues seeing colours",43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66746fd6ac46078c2057fc71,6638d8a514de47a38e3c8dd8,RETURNED,Not Applicable,2024-06-20T18:07:31.606000Z,,,2024-07-08T15:41:45.479924Z,,,18,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667470158aeb87e3c9758723,628f86a4d49833cf00ff2606,APPROVED,Not Applicable,2024-06-20T18:14:49.056000Z,2024-06-20T19:55:23.691000Z,2024-06-24T11:29:09.638000Z,2024-06-20T19:55:24.182247Z,6035.0,CD9A7ZYU,1325,English,"No, I have no issues seeing colours",27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6674701baf01d07c62f57867,6658cbcb487ff144dc5280d6,APPROVED,Not Applicable,2024-06-20T18:08:32.926000Z,2024-06-20T19:05:11.477000Z,2024-06-24T11:29:09.876000Z,2024-06-20T19:05:34.592712Z,3399.0,CD9A7ZYU,30,English,"No, I have no issues seeing colours",30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667470215f31c8b33fa21ec2,66439d7af15ad76099729ca0,APPROVED,Not Applicable,2024-06-20T18:08:41.952000Z,2024-06-20T19:04:59.438000Z,2024-06-24T11:29:10.117000Z,2024-06-20T19:05:30.365554Z,3378.0,CD9A7ZYU,9,"English, Telugu","No, I have no issues seeing colours",23,Female,Asian,United States,United States,India,English,Yes,Other
6674702e76c701df4e595ac5,652981dabcaee22f94ef3d9b,APPROVED,Not Applicable,2024-06-20T18:08:56.883000Z,2024-06-20T19:12:51.983000Z,2024-06-24T11:29:10.359000Z,2024-06-20T19:13:25.387838Z,3836.0,CD9A7ZYU,169,"English, Arabic","No, I have no issues seeing colours",26,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Other
